,,,,,PURE PROTEIN PVT.LTD.,,,,,,,,
,,,,,,,,,,,,,
,,,,,TIN  NO.-09888829877C,,,,,,,,
,,,,,"Shop No.34&35,Gaur Gravity,Kala Pathar,",,,,,,,,
,,,,,"Indirapuram,Ghaziabad(U.P)",,,,,,,,
,,,,,"Phone :0120-4333361,9810887355",,,,,,,,
,,,,,Itemwise Purchase Register,,,,,,,,
,,,,,,,,,,,,,
,Supplier  : ,16,BANGA ELECTRONICS,,,,,,,,,,
Run Date : 03/08/2015,,,,,Period  : 01-Nov-2014 To 03-Aug-2015,,,,,Page :  4294967295  of  1,,,
,,Item Name,,,Item  ID,Purchase   ,Purchase   ,Pur.Ret.   ,Pur.Ret   ,Net Qty.   ,Net Amt.,Sale   ,Sale   
,,,,,,Qty. ,Amt. ,Qty. ,Amt. ,,,Qty. ,Amt. 
,,,,,,,,,,,,,
GINGER GARLIC PASTE 200 GM,,,,300002,,205.00,6077.78,,,205.00,6077.78,181.00,6333.25
GINGER GARLIC PASTE 30 GM,,,,300001,,507.00,2284.00,,,507.00,2284.00,404.00,2019.00
GREEN CHILLY JEERA PASTE 100 GM,,,,300003,,88.00,2803.41,,,88.00,2803.41,76.00,2660.00
NATIONAL BIRYANI MASALA 45 GM,,,,160040,,6.00,263.97,,,6.00,263.97,4.00,220.00
NATIONAL BOMBAY BIRYANI 70 GM,,,,160039,,6.00,263.97,,,6.00,263.97,4.00,220.00
NATIONAL CHICKEN BIRYANI 45GM,,,,160037,,6.00,263.97,,,6.00,263.97,6.00,330.00
NATIONAL SINDHI BIRYANI 50 GM,,,,160038,,6.00,263.97,,,6.00,263.97,2.00,110.00
NIMKISH AFGHANI CHICKEN 40G.,,,,160063,,5.00,173.25,,,5.00,173.25,,
NIMKISH BHUNA GOSHT 50G.,,,,160070,,5.00,173.25,,,5.00,173.25,,
NIMKISH BUTTER CHICKEN 50G.,,,,160065,,5.00,173.25,,,5.00,173.25,,
NIMKISH CHICKEN CURRY 50G.,,,,160068,,5.00,173.25,,,5.00,173.25,1.00,45.00
NIMKISH FISH FRY 40G.,,,,160061,,5.00,153.82,,,5.00,153.82,,
NIMKISH KEEMA CURRY 50G.,,,,160069,,5.00,173.25,,,5.00,173.25,3.00,135.00
NIMKISH KORMA MASALA 50G.,,,,160060,,5.00,173.25,,,5.00,173.25,,
NIMKISH MEAT CURRY 50G.,,,,160066,,5.00,173.25,,,5.00,173.25,,
NIMKISH MUTTON ROGAN JOSH 50G.,,,,160067,,5.00,173.25,,,5.00,173.25,1.00,45.00
NIMKISH RARA CHICKEN 50G.,,,,160062,,5.00,173.25,,,5.00,173.25,1.00,45.00
NIMKISH TANDOORI CHICKEN 40G.,,,,160071,,5.00,153.82,,,5.00,153.82,,
NIMKISH TANDOORI FISH 30G.,,,,160064,,5.00,153.82,,,5.00,153.82,,
RED CHILLI PASTE 100 GM,,,,300004,,75.00,2392.68,,,75.00,2392.68,62.00,2170.00
Grand Total ,,,,,,959.00,16634.46,,,959.00,16634.46,745.00,"14,332.25"
