,,,,,PURE PROTEIN PVT.LTD.,,,,,,,,
,,,,,,,,,,,,,
,,,,,TIN  NO.-09888829877C,,,,,,,,
,,,,,"Shop No.34&35,Gaur Gravity,Kala Pathar,",,,,,,,,
,,,,,"Indirapuram,Ghaziabad(U.P)",,,,,,,,
,,,,,"Phone :0120-4333361,9810887355",,,,,,,,
,,,,,Itemwise Purchase Register,,,,,,,,
,,,,,,,,,,,,,
,Supplier  : ,23,WEST COASTFINE FOODS,,,,,,,,,,
Run Date : 03/08/2015,,,,,Period  : 01-Nov-2014 To 03-Aug-2015,,,,,Page :  4294967295  of  1,,,
,,Item Name,,,Item  ID,Purchase   ,Purchase   ,Pur.Ret.   ,Pur.Ret   ,Net Qty.   ,Net Amt.,Sale   ,Sale   
,,,,,,Qty. ,Amt. ,Qty. ,Amt. ,,,Qty. ,Amt. 
,,,,,,,,,,,,,
C T CHILLI BASIL BASA FISH 200 GM,,,,180112,,10.00,1623.96,10.00,"1,623.97",0.00,-0.01,,
CHE VON GOAT SAUSAGE 250GM.,,,,180115,,12.00,2890.92,,,12.00,2890.92,10.00,2950.00
FRESH POTATO TEDDY BEARS 1 PC,,,,180056,,17.00,1264.72,6.00,446.38,11.00,818.34,10.00,930.00
FRESH SAMOSA PATTI 190 GM,,,,180058,,5.00,259.97,3.00,155.99,2.00,103.98,2.00,139.00
FRESH SPIRNG ROLL PATTI 200GM,,,,180059,,5.00,332.02,3.00,199.21,2.00,132.81,3.00,282.00
POMFRET CAMBAY TIGER 500 GM,,,,180057,,26.00,9838.30,,,26.00,9838.30,,
R FISH BASA SOLE 1 KG,,,,0311,,10.00,2500.00,,,10.00,2500.00,53.97,26985.50
R FISH POMFRETTE (WHOLE) EACH 1 PCS,,,,0305,,70.00,8702.87,,,70.00,8702.87,140.00,33150.00
Grand Total ,,,,,,155.00,27412.76,22.00,2425.55,133.00,24987.21,218.97,"64,436.50"
